,has_url,character_count,sw_count,non_sw_char_proportion,mean_lemma_length,lemma_count_no_sw,unique_lemmas_no_sw,sw_proportion,hashtag_proportion,mention_proportion,target
39,0,22,2,0.45454545454545453,4.0,2,2,0.5,0.0,0.0,0
418,0,59,2,0.711864406779661,6.125,6,6,0.25,0.0,0.25,0
4916,0,44,6,0.4090909090909091,3.2,4,4,0.6,0.0,0.0,0
2126,0,144,13,0.4166666666666667,4.260869565217392,10,9,0.5652173913043478,0.0,0.0,0
1054,0,35,1,0.6857142857142857,3.8333333333333335,4,4,0.16666666666666666,0.0,0.0,0
688,0,41,3,0.6097560975609756,5.0,3,3,0.5,0.0,0.16666666666666666,0
3193,1,112,7,0.6339285714285714,5.1875,9,9,0.4375,0.1875,0.0,0
194,1,111,11,0.4864864864864865,3.608695652173913,9,9,0.5,0.0,0.045454545454545456,0
7495,1,24,1,0.7083333333333334,3.6,4,4,0.2,0.0,0.0,1
5987,0,20,0,0.85,8.0,2,2,0.0,0.0,0.0,0
6452,0,137,7,0.6277372262773723,5.0,13,13,0.35,0.0,0.05,1
6647,0,140,4,0.7785714285714286,5.523809523809524,17,16,0.19047619047619047,0.0,0.14285714285714285,1
1421,1,36,2,0.6111111111111112,3.7142857142857144,4,4,0.3333333333333333,0.16666666666666666,0.0,0
4729,1,95,2,0.631578947368421,4.642857142857143,12,12,0.14285714285714285,0.07142857142857142,0.0,0
4637,0,126,5,0.626984126984127,4.4,15,14,0.25,0.05,0.0,1
1789,1,87,10,0.3563218390804598,3.6470588235294117,5,5,0.6666666666666666,0.0,0.0,0
5578,1,56,4,0.5357142857142857,3.909090909090909,7,7,0.36363636363636365,0.0,0.0,0
6514,1,58,4,0.5517241379310345,4.777777777777778,5,5,0.4444444444444444,0.0,0.0,1
28,0,9,0,0.6666666666666666,6.0,1,1,0.0,0.0,0.0,0
6880,1,61,3,0.6885245901639344,6.125,5,5,0.375,0.0,0.25,0
6722,0,134,3,0.6194029850746269,4.722222222222222,15,14,0.16666666666666666,0.0,0.0,0
1309,1,117,5,0.717948717948718,4.888888888888889,13,11,0.2777777777777778,0.0,0.0,1
4607,1,89,0,0.797752808988764,5.230769230769231,13,11,0.0,0.23076923076923078,0.0,0
3636,1,90,7,0.5111111111111111,4.428571428571429,7,7,0.5,0.0,0.14285714285714285,0
4405,1,97,2,0.6907216494845361,5.0,11,11,0.14285714285714285,0.21428571428571427,0.0,0
7114,0,136,18,0.40441176470588236,3.8518518518518516,9,9,0.6666666666666666,0.0,0.0,0
1650,1,106,9,0.5283018867924528,4.444444444444445,9,9,0.5,0.0,0.0,0
6892,0,28,1,0.7857142857142857,6.0,2,2,0.3333333333333333,0.0,0.3333333333333333,0
2846,1,114,3,0.7543859649122807,5.0588235294117645,14,13,0.17647058823529413,0.0,0.0,0
5152,1,117,7,0.5470085470085471,4.882352941176471,9,9,0.4375,0.0,0.0625,0
6902,0,68,6,0.5,4.416666666666667,6,6,0.5,0.0,0.0,0
3394,0,114,7,0.6403508771929824,4.65,11,11,0.3684210526315789,0.05263157894736842,0.0,0
6370,1,102,3,0.6372549019607843,4.375,13,13,0.1875,0.0,0.0,1
3620,0,135,11,0.5407407407407407,4.5,11,11,0.5,0.0,0.0,1
6304,1,75,2,0.5733333333333334,5.875,6,6,0.25,0.0,0.0,0
4194,0,82,8,0.524390243902439,4.133333333333334,7,7,0.5333333333333333,0.0,0.0,0
4638,0,134,15,0.44029850746268656,4.375,9,9,0.625,0.0,0.041666666666666664,0
3575,1,110,7,0.6181818181818182,4.882352941176471,10,10,0.4117647058823529,0.058823529411764705,0.058823529411764705,1
2895,1,68,10,0.36764705882352944,3.2666666666666666,5,5,0.6666666666666666,0.0,0.0,0
1909,0,140,2,0.8071428571428572,5.2272727272727275,20,17,0.09090909090909091,0.0,0.0,0
4567,0,128,9,0.5703125,4.173913043478261,11,10,0.45,0.05,0.1,0
2780,1,80,1,0.7875,7.75,7,7,0.125,0.25,0.0,0
2040,1,95,2,0.7894736842105263,6.7272727272727275,9,9,0.18181818181818182,0.18181818181818182,0.09090909090909091,1
1518,1,90,5,0.6555555555555556,5.538461538461538,8,8,0.38461538461538464,0.0,0.0,1
19,0,28,2,0.5357142857142857,6.666666666666667,1,1,0.6666666666666666,0.0,0.0,0
6222,0,124,8,0.6129032258064516,4.125,12,12,0.36363636363636365,0.0,0.0,0
5058,0,140,10,0.5857142857142857,5.15,10,10,0.5,0.0,0.05,0
4804,0,136,11,0.6102941176470589,4.12,13,13,0.4583333333333333,0.0,0.0,1
7523,1,80,3,0.675,5.166666666666667,8,8,0.25,0.0,0.08333333333333333,1
2531,1,110,5,0.6363636363636364,5.533333333333333,10,10,0.3333333333333333,0.0,0.0,1
350,1,45,3,0.5555555555555556,4.0,5,5,0.375,0.125,0.0,0
4525,0,140,12,0.4642857142857143,4.391304347826087,11,11,0.5217391304347826,0.0,0.0,0
2573,0,138,10,0.5652173913043478,4.260869565217392,11,11,0.45454545454545453,0.0,0.0,1
3385,1,82,2,0.7682926829268293,6.090909090909091,9,9,0.18181818181818182,0.09090909090909091,0.09090909090909091,0
6889,0,25,1,0.68,4.75,2,2,0.3333333333333333,0.0,0.0,0
6182,1,105,3,0.7619047619047619,5.25,13,13,0.1875,0.0625,0.0625,0
4277,0,111,9,0.5225225225225225,4.555555555555555,9,9,0.5,0.05555555555555555,0.0,0
618,0,136,5,0.7352941176470589,5.2272727272727275,14,14,0.23809523809523808,0.0,0.0,0
1488,0,138,18,0.38405797101449274,3.5714285714285716,7,7,0.6923076923076923,0.0,0.0,0
6436,1,56,1,0.7321428571428571,5.857142857142857,6,6,0.14285714285714285,0.0,0.0,1
7545,0,129,8,0.6356589147286822,4.681818181818182,12,12,0.38095238095238093,0.0,0.0,0
2636,0,110,10,0.5,4.052631578947368,8,8,0.5263157894736842,0.05263157894736842,0.0,0
4650,0,111,11,0.5045045045045045,3.9047619047619047,9,9,0.55,0.0,0.0,0
6006,0,134,8,0.6865671641791045,5.0476190476190474,13,12,0.38095238095238093,0.0,0.0,1
2738,0,95,12,0.3894736842105263,4.375,4,4,0.75,0.0,0.0625,1
2017,0,113,4,0.6017699115044248,5.375,12,12,0.25,0.0625,0.0,1
5871,0,74,8,0.33783783783783783,4.3076923076923075,5,5,0.6153846153846154,0.0,0.0,0
901,0,37,1,0.7027027027027027,4.833333333333333,4,4,0.2,0.0,0.2,0
4678,0,34,2,0.7352941176470589,4.5,4,4,0.3333333333333333,0.0,0.16666666666666666,1
6561,0,79,10,0.379746835443038,4.0,4,4,0.7142857142857143,0.0,0.0,0
6959,1,58,3,0.6724137931034483,4.666666666666667,6,5,0.3333333333333333,0.1111111111111111,0.0,0
1295,1,117,6,0.6666666666666666,4.473684210526316,13,8,0.3157894736842105,0.0,0.0,1
5767,0,135,11,0.5481481481481482,4.7272727272727275,9,9,0.5238095238095238,0.0,0.09523809523809523,1
6003,0,97,8,0.4845360824742268,4.333333333333333,6,6,0.5714285714285714,0.07142857142857142,0.07142857142857142,0
2662,0,90,3,0.4444444444444444,6.222222222222222,6,6,0.3333333333333333,0.0,0.0,1
412,0,47,1,0.7021276595744681,4.25,7,7,0.125,0.0,0.25,1
2383,1,110,9,0.5,4.0,11,11,0.45,0.15,0.0,0
2202,0,94,10,0.43617021276595747,4.4375,6,6,0.625,0.0,0.0625,0
1735,1,94,4,0.6808510638297872,5.142857142857143,10,10,0.2857142857142857,0.0,0.0,1
1073,0,82,7,0.5487804878048781,4.285714285714286,7,7,0.5,0.0,0.07142857142857142,1
6086,1,59,4,0.5932203389830508,4.4,6,6,0.4,0.0,0.0,1
7166,0,93,10,0.4946236559139785,3.4285714285714284,10,10,0.5,0.0,0.0,0
817,1,95,5,0.5473684210526316,4.333333333333333,10,10,0.3333333333333333,0.0,0.06666666666666667,0
916,1,78,2,0.6666666666666666,5.6,6,6,0.2222222222222222,0.2222222222222222,0.0,0
6974,1,112,7,0.6607142857142857,5.0,11,11,0.3888888888888889,0.05555555555555555,0.05555555555555555,0
961,1,113,8,0.5486725663716814,4.578947368421052,11,11,0.42105263157894735,0.0,0.0,0
5765,1,98,6,0.5816326530612245,4.933333333333334,9,9,0.4,0.0,0.0,0
4770,1,79,2,0.7468354430379747,5.166666666666667,10,10,0.16666666666666666,0.0,0.0,1
5397,0,43,4,0.627906976744186,2.909090909090909,4,4,0.4444444444444444,0.0,0.0,0
6797,1,116,8,0.5689655172413793,4.1,11,11,0.4,0.05,0.0,1
7361,1,83,2,0.7228915662650602,6.0,9,9,0.18181818181818182,0.18181818181818182,0.0,1
2698,1,57,0,0.7719298245614035,6.285714285714286,7,7,0.0,0.0,0.0,0
6043,0,141,10,0.624113475177305,4.375,13,13,0.4166666666666667,0.0,0.0,1
138,0,80,6,0.5375,4.666666666666667,6,6,0.5,0.0,0.08333333333333333,0
379,1,53,4,0.6037735849056604,4.555555555555555,5,5,0.4444444444444444,0.1111111111111111,0.0,0
5995,0,31,3,0.41935483870967744,4.4,2,2,0.6,0.0,0.0,0
5228,0,78,5,0.5769230769230769,5.7272727272727275,6,6,0.45454545454545453,0.0,0.18181818181818182,0
7514,1,115,10,0.48695652173913045,4.2105263157894735,9,9,0.5263157894736842,0.05263157894736842,0.0,1
336,0,41,0,0.8780487804878049,7.2,5,5,0.0,0.0,0.0,0
4656,0,142,9,0.6408450704225352,4.52,15,15,0.375,0.0,0.0,1
6238,1,95,2,0.7368421052631579,5.769230769230769,11,11,0.15384615384615385,0.0,0.0,0
1627,1,56,1,0.8214285714285714,5.111111111111111,7,7,0.125,0.0,0.0,1
2643,1,65,1,0.7846153846153846,5.555555555555555,8,8,0.1111111111111111,0.0,0.0,1
4053,1,69,5,0.5507246376811594,3.7142857142857144,8,8,0.38461538461538464,0.0,0.0,0
4550,1,87,2,0.7471264367816092,4.642857142857143,12,12,0.14285714285714285,0.0,0.0,1
2203,0,138,10,0.572463768115942,4.608695652173913,13,13,0.43478260869565216,0.0,0.043478260869565216,0
3084,0,106,13,0.5,3.4166666666666665,10,9,0.5652173913043478,0.0,0.0,0
6051,1,51,0,0.7843137254901961,5.571428571428571,7,7,0.0,0.0,0.0,1
4380,1,66,1,0.803030303030303,6.111111111111111,8,8,0.1111111111111111,0.1111111111111111,0.0,1
3023,0,128,15,0.375,3.9565217391304346,8,8,0.6521739130434783,0.0,0.043478260869565216,1
4051,1,106,6,0.6226415094339622,5.533333333333333,9,9,0.4,0.2,0.0,1
2024,0,133,15,0.47368421052631576,4.0,8,8,0.6,0.0,0.0,0
2744,1,114,3,0.7719298245614035,6.133333333333334,12,10,0.2,0.0,0.0,1
676,0,33,0,0.6060606060606061,4.0,5,5,0.0,0.0,0.2,0
4483,1,95,3,0.6,3.875,13,12,0.1875,0.8125,0.0,1
2109,1,77,2,0.7662337662337663,4.75,10,10,0.16666666666666666,0.0,0.0,0
2025,1,22,1,0.7272727272727273,4.25,3,3,0.25,0.0,0.0,0
303,1,109,4,0.6788990825688074,4.823529411764706,13,12,0.23529411764705882,0.0,0.058823529411764705,0
3703,0,61,6,0.6065573770491803,3.909090909090909,5,5,0.5454545454545454,0.0,0.0,0
6376,1,98,3,0.6224489795918368,4.4,12,12,0.2,0.0,0.0,1
1763,1,116,7,0.6724137931034483,4.7368421052631575,12,12,0.3684210526315789,0.0,0.05263157894736842,1
7551,0,46,5,0.5869565217391305,3.5,5,5,0.5,0.0,0.0,0
2003,0,115,7,0.6782608695652174,5.8125,9,9,0.4375,0.0,0.1875,1
2316,0,29,2,0.6206896551724138,5.25,2,2,0.5,0.0,0.0,0
6915,0,88,7,0.45454545454545453,3.7058823529411766,7,7,0.4666666666666667,0.0,0.06666666666666667,1
369,1,93,2,0.6989247311827957,4.4375,14,14,0.125,0.0,0.0,0
7393,0,132,12,0.5606060606060606,4.541666666666667,11,11,0.5217391304347826,0.0,0.0,0
5868,0,94,10,0.425531914893617,3.9473684210526314,7,7,0.5882352941176471,0.0,0.058823529411764705,0
3440,1,124,6,0.5403225806451613,4.588235294117647,9,9,0.375,0.0,0.125,0
3153,1,113,0,0.7876106194690266,7.25,12,12,0.0,0.16666666666666666,0.0,0
734,0,139,14,0.5539568345323741,3.566666666666667,12,12,0.5,0.0,0.0,0
3464,1,53,1,0.7169811320754716,3.7,9,9,0.1,0.3,0.0,0
5858,0,36,3,0.5833333333333334,3.25,5,5,0.375,0.0,0.0,0
2055,1,72,12,0.2916666666666667,3.176470588235294,4,4,0.75,0.0,0.0,0
5559,0,102,10,0.5392156862745098,4.05,10,10,0.5,0.0,0.05,0
5811,1,116,6,0.5344827586206896,4.157894736842105,12,8,0.3333333333333333,0.0,0.05555555555555555,0
1721,0,138,8,0.6376811594202898,3.5925925925925926,17,17,0.3076923076923077,0.0,0.0,1
2803,0,133,12,0.5037593984962406,4.2,11,11,0.5,0.0,0.0,0
1980,0,136,5,0.7426470588235294,6.166666666666667,13,13,0.2777777777777778,0.1111111111111111,0.1111111111111111,1
6830,0,136,14,0.4338235294117647,4.12,11,11,0.56,0.0,0.04,0
3679,1,81,2,0.7777777777777778,5.5,9,9,0.18181818181818182,0.0,0.0,1
3152,1,91,2,0.7692307692307693,6.545454545454546,9,9,0.18181818181818182,0.0,0.09090909090909091,1
7485,0,120,13,0.425,3.2,10,9,0.5416666666666666,0.0,0.0,0
1817,0,139,7,0.6762589928057554,4.24,18,18,0.28,0.0,0.04,1
3598,1,76,3,0.6973684210526315,4.916666666666667,9,9,0.25,0.0,0.0,1
4326,1,97,3,0.6494845360824743,4.533333333333333,12,12,0.2,0.0,0.0,0
1657,0,69,5,0.5942028985507246,4.230769230769231,7,7,0.38461538461538464,0.0,0.0,0
6399,1,61,1,0.8032786885245902,6.375,7,7,0.125,0.0,0.0,1
1212,0,86,7,0.47674418604651164,4.214285714285714,6,5,0.5384615384615384,0.0,0.0,0
3746,1,56,5,0.4642857142857143,3.272727272727273,5,5,0.5,0.0,0.0,0
3704,0,81,10,0.30864197530864196,3.2,5,5,0.6666666666666666,0.0,0.0,0
6687,1,92,2,0.6630434782608695,4.785714285714286,12,12,0.14285714285714285,0.0,0.0,0
5727,1,117,9,0.5982905982905983,4.0476190476190474,12,12,0.42857142857142855,0.0,0.0,1
4795,0,90,4,0.6666666666666666,4.8,11,10,0.26666666666666666,0.06666666666666667,0.06666666666666667,0
1184,1,61,3,0.7049180327868853,4.6,7,7,0.3,0.0,0.0,1
